component,count_change,s_c,sign,dl,c1,c2,x1,y1,x2,y2,d
Case1-arc,5->7,0.260832596136378,1,0.0030000000008831656,-1.0696971649664018,1.0867460720369613,-0.2533177025220065,0.2613975918431408,-0.21750117774081576,0.27460829662677744,0.03817520357878988
Case1-arc,5->7,0.260832596136378,1,0.0060000000017916885,-1.0676685166299622,1.0845359621002133,-0.2610040716627075,0.26117103121107116,-0.21023083317715235,0.2794349173995709,0.053958236489136016
Case1-arc,5->7,0.260832596136378,1,0.00900000000272651,-1.0656397584703308,1.08232595297459,-0.2670203672175065,0.2616727597299576,-0.20468069134416167,0.28353564960268135,0.06606225201717345
Case1-arc,5->7,0.260832596136378,1,0.012000000003688506,-1.0636108889083589,1.0801160461199295,-0.27219383136048575,0.2625723597685179,-0.20002280151789975,0.2872412300290133,0.07627064119612863
Case1-arc,5->7,0.260832596136378,1,0.015000000004678726,-1.0615819063339103,1.0779062430249626,-0.2768442943336422,0.2637388175202245,-0.195936667517286,0.29068310477312237,0.08527624928795496
Case1-arc,5->7,0.260832596136378,1,0.018000000005698104,-1.0595528091050685,1.0756965452080602,-0.28113548776041625,0.26510358851793786,-0.19225793911136427,0.29393034785448535,0.09343554306425274
Case1-arc,5->7,0.260832596136378,1,0.021000000006747552,-1.0575235955473217,1.0734869542180006,-0.2851645015510921,0.2666252792558954,-0.18888895841323722,0.2970249663011239,0.10096098840114821
Case1-arc,5->7,0.260832596136378,1,0.024000000007828294,-1.0554942639527212,1.0712774716347606,-0.2889944872701513,0.2682765780370369,-0.18576605869341062,0.29999495818375055,0.10799150015420053
Case1-arc,5->7,0.260832596136378,1,0.02700000000894134,-1.0534648125790131,1.0690680990703358,-0.29266924431993996,0.2700383555241399,-0.18284497949950357,0.30286020278324166,0.11462391897352465
Case1-arc,5->7,0.260832596136378,1,0.03000000001008775,-1.051435239648744,1.0668588381695825,-0.2962206263953415,0.27189663278180737,-0.18009346081775077,0.30563548480996605,0.12092902348594058
Case1-arc,5->7,0.260832596136378,1,0.03300000001126891,-1.0494055433483354,1.0646496906110898,-0.29967266599806364,0.273840872090611,-0.17748711863613456,0.30833219714195903,0.1269604642710949
Case1-arc,5->7,0.260832596136378,1,0.03600000001248593,-1.0473757218271307,1.0624406581080794,-0.30304403648939554,0.2758629439668541,-0.17500698254393,0.3109593684297237,0.13276010768718127
Case1-arc,5->7,0.260832596136378,1,0.03900000001374021,-1.0453457731964113,1.0602317424093335,-0.30634960375999987,0.27795646790371503,-0.17263794337434757,0.3135243178635887,0.1383614110720764
Case1-arc,5->7,0.260832596136378,1,0.04200000001503294,-1.04331569552838,1.0580229453001546,-0.3096014477762764,0.28011637275037704,-0.17036773069207073,0.31603309102228144,0.14379165005141284
Case1-arc,5->7,0.260832596136378,1,0.04500000001636568,-1.0412854868551116,1.0558142686033558,-0.31280955966860985,0.28233859275566237,-0.16818621450178609,0.31849076063169357,0.14907344233423667
Case1-arc,5->7,0.260832596136378,1,0.048000000017739686,-1.0392551451674694,1.0536057141802848,-0.31598233186680685,0.28461985091808895,-0.1660849136965457,0.32090164046262626,0.15422582217859704
Case1-arc,5->7,0.260832596136378,1,0.05100000001915669,-1.037224668413986,1.0513972839318808,-0.3191269115479117,0.2869575004834347,-0.16405664098992634,0.3232694414093381,0.1592650177054995
Case1-arc,5->7,0.260832596136378,1,0.054000000020618305,-1.035194054499707,1.0491889797997682,-0.32224946105974206,0.28934940630564343,-0.1620952406642136,0.32559738792432635,0.16420502575112578
Case1-arc,5->7,0.260832596136378,1,0.057000000022126206,-1.033163301284996,1.0469808037673858,-0.3253553533585068,0.29179385421049736,-0.16019539107921563,0.3278883065666938,0.16905804515310893
Case1-arc,5->7,0.260832596136378,1,0.06000000002368198,-1.0311324065843002,1.0447727578611554,-0.32844932098144564,0.2942894804344584,-0.1583524533916005,0.33014469449106876,0.1738348087666065
Case1-arc,5->7,0.260832596136378,1,0.06300000002528747,-1.029101368164874,1.0425648441516895,-0.3315355710908787,0.2968352156944372,-0.15656235390701795,0.33236877321995234,0.17854484154432915
Case1-arc,5->7,0.260832596136378,1,0.06600000002694469,-1.0270701837454592,1.04035706475504,-0.3346178752565173,0.2994302400553567,-0.15482149134455056,0.3345625314290114,0.18319666362950693
Case1-arc,5->7,0.260832596136378,1,0.0690000000286556,-1.0250388509949218,1.0381494218339906,-0.15312666284685503,0.3367277594000492,-0.337699640075812,0.30207394583059827,0.1877979518473706
Case1-arc,5->7,0.260832596136378,1,0.07200000003042216,-1.0230073675308395,1.0359419175993945,-0.15147500429650207,0.338866077065913,-0.3407839629913108,0.30476590647387836,0.19235566920815894
Case1-arc,5->7,0.260832596136378,1,0.07500000003224673,-1.0209757309180438,1.0337345543115564,-0.14986394169160808,0.3409789570635757,-0.3438736764558756,0.3075058499166244,0.19687616941969566
Case1-arc,5->7,0.260832596136378,1,0.07800000003413136,-1.018943938667109,1.031527334281666,-0.14829115117056876,0.34306774385389477,-0.3469713827437462,0.31029363515033526,0.201365281563839
Case1-arc,5->7,0.260832596136378,1,0.08100000003607857,-1.0169119882327906,1.0293202598732791,-0.14675452587347418,0.3451336697090592,-0.3500794810895203,0.31312923109401974,0.20582837876413204
Case1-arc,5->7,0.260832596136378,1,0.0840000000380907,-1.014879877012407,1.027113333503854,-0.1452521482605026,0.34717786818147384,-0.35320018838501355,0.3160126969554033,0.21027043370187715
Case1-arc,5->7,0.260832596136378,1,0.0870000000401704,-1.012847602344167,1.0249065576463396,-0.14378226682544543,0.34920138552935764,-0.356335554325139,0.3189441634114529,0.21469606311532502
Case1-arc,5->7,0.260832596136378,1,0.09000000004232049,-1.0108151615054357,1.0226999348308232,-0.14234327637832989,0.3512051904713713,-0.35948747163656847,0.3219238140145276,0.2191095628710793
Case1-arc,5->7,0.260832596136378,-1,-0.0030000000008665625,-1.073754138335943,1.091166588644648,-0.3604359928225719,0.0985403103587435,-0.5058662342421693,0.9723956042552091,0.8858741613740864
Case1-arc,5->7,0.260832596136378,-1,-0.006000000001709015,-1.0757824663791906,1.0933769925339927,-0.3576348432410389,0.0997648519855429,-0.5057563565875477,0.9741731435626182,0.8868651775184319
Case1-arc,5->7,0.260832596136378,-1,-0.009000000002528291,-1.0778106906209621,1.095587491669936,-0.3547920176466309,0.10100099267781375,-0.505637750080309,0.9759495277855166,0.8878566179741906
Case1-arc,5->7,0.260832596136378,-1,-0.012000000003325134,-1.0798388124965255,1.0977980847267066,-0.35190626845978357,0.10224758696091608,-0.5055103931041097,0.9777247949397894,0.8888501385488068
Case1-arc,5->7,0.260832596136378,-1,-0.015000000004100072,-1.0818668334144352,1.1000087704034074,-0.3489764007488211,0.1035032093228982,-0.5053742636660811,0.9794989817207324,0.8898476750455463
Case1-arc,5->7,0.260832596136378,-1,-0.0180000000048539,-1.0838947547571733,1.1022195474234142,-0.3460013029083874,0.10476610449267411,-0.5052293393994469,0.9812721235204602,0.8908514853760621
Case1-arc,5->7,0.260832596136378,-1,-0.021000000005587237,-1.0859225778817707,1.1044304145337915,-0.3429799849864876,0.10603413073891474,-0.5050755975662525,0.9830442544440983,0.8918641963320372
Case1-arc,5->7,0.260832596136378,-1,-0.024000000006300884,-1.087950304120412,1.1066413705047253,-0.33991162596658897,0.10730469605907228,-0.5049130150602233,0.9848154073247664,0.8928888546671715
Case1-arc,5->7,0.260832596136378,-1,-0.027000000006995296,-1.0899779347810212,1.1088524141289724,-0.3367956312935303,0.10857468761942718,-0.5047415684097545,0.9865856137374064,0.8939289816178901
Case1-arc,5->7,0.260832596136378,-1,-0.030000000007671238,-1.0920054711478338,1.1110635442213252,-0.3336317017555514,0.10984039557063414,-0.504561233781026,0.9883549040115147,0.8949886292347907
Case1-arc,5->7,0.260832596136378,-1,-0.033000000008329124,-1.0940329144819476,1.1132747596180934,-0.33041991440999635,0.11109743348040713,-0.5043719869812765,0.990123307242754,0.8960724358529847
Case1-arc,5->7,0.260832596136378,-1,-0.036000000008969635,-1.096060266021863,1.1154860591765987,-0.32716081545029246,0.11234065917288887,-0.5041738034622095,0.9918908513035519,0.8971856766589587
Case1-arc,5->7,0.260832596136378,-1,-0.03900000000959321,-1.0980875269840047,1.1176974417746848,-0.32385552363110154,0.11356410178372757,-0.5039666583235544,0.9936575628526854,0.8983343036178347
Case1-arc,5->7,0.260832596136378,-1,-0.04200000001020047,-1.1001146985632297,1.1199089063102416,-0.32050584097439766,0.11476090329503957,-0.5037505263167987,0.9954234673438506,0.8995249670927772
Case1-arc,5->7,0.260832596136378,-1,-0.045000000010791866,-1.1021417819333215,1.1221204517007426,-0.31711436490971734,0.11592328552113026,-0.50352538184908,0.9971885890333048,0.9007650095395426
Case1-arc,5->7,0.260832596136378,-1,-0.04800000001136788,-1.1041687782474698,1.1243320768827942,-0.31368459283231304,0.11704255606196473,-0.503291198987249,0.9989529509865779,0.9020624201094292
Case1-arc,5->7,0.260832596136378,-1,-0.051000000011928975,-1.1061956886387379,1.1265437808116998,-0.31022100660220286,0.11810916842157393,-0.503047951462126,1.0007165750842664,0.9034257384864874
Case1-arc,5->7,0.260832596136378,-1,-0.05400000001247556,-1.1082225142205158,1.1287555624610337,-0.3067291214040092,0.11911285129787347,-0.5027956126729415,1.002479482026959,0.904863897657635
Case1-arc,5->7,0.260832596136378,-1,-0.05700000001300815,-1.1102492560869621,1.130967420822229,-0.30321548166719337,0.12004281882305551,-0.5025341556919813,1.0042416913392975,0.9063859994362188
Case1-arc,5->7,0.260832596136378,-1,-0.06000000001352706,-1.1122759153134332,1.1331793549041747,-0.29968758769074455,0.12088806629498983,-0.502263553269434,1.0060032213732164,0.9080010239968298
Case1-arc,5->7,0.260832596136378,-1,-0.06300000001403294,-1.1143024929569016,1.1353913637328255,-0.29615374141948747,0.12163774446687273,-0.5019837778384598,1.0077640893103572,0.9097174852215986
Case1-arc,5->7,0.260832596136378,-1,-0.06600000001452583,-1.1163289900563604,1.137603446350822,-0.29262280899403453,0.12228159090523406,-0.5016948015204965,1.0095243111636705,0.9115430558731579
Case1-arc,5->7,0.260832596136378,-1,-0.0690000000150063,-1.1183554076332216,1.1398156018171197,-0.289103910439514,0.12281038213328531,-0.5013965961307776,1.011283901778292,0.9134841977332698
Case1-arc,5->7,0.260832596136378,-1,-0.07200000001547474,-1.1203817466916977,1.1420278292066313,-0.2856060607334075,0.12321635940071173,-0.5010891331841323,1.0130428748315838,0.9155458383263245
Case1-arc,5->7,0.260832596136378,-1,-0.07500000001593139,-1.122408008219179,1.1442401276098737,-0.2821377978160299,0.12349357812505894,-0.5007723839010084,1.0148012428325102,0.917731134591608
Case1-arc,5->7,0.260832596136378,-1,-0.0780000000163767,-1.1244341931865964,1.1464524961326301,-0.2787068382029185,0.12363813866490558,-0.5004463192137977,1.0165590171202117,0.9200413537555633
Case1-arc,5->7,0.260832596136378,-1,-0.08100000001681097,-1.1264603025487774,1.1486649338956165,-0.2753197976122633,0.12364827318978767,-0.5001109097734151,1.018316207861921,0.9224758844745743
Case1-arc,5->7,0.260832596136378,-1,-0.08400000001723447,-1.1284863372447902,1.1508774400341601,-0.2719820030241286,0.12352428576906317,-0.499766125956194,1.0200728240501333,0.9250323714086193
